query_id	0	chunk_id	relevance
Q-0001	0	CASE-700456	1
Q-0001	0	CASE-500786	1
Q-0001	0	CASE-700524	2
Q-0001	0	CASE-701246	2
Q-0001	0	CASE-700877	1
Q-0001	0	CASE-700597	1
Q-0001	0	CASE-701005	2
Q-0001	0	CASE-700772	2
Q-0001	0	CASE-701272	2
Q-0001	0	CASE-700545	0
Q-0001	0	CASE-500516	3
Q-0001	0	CASE-700728	1
Q-0001	0	CASE-701054	1
Q-0001	0	CASE-700620	1
Q-0002	0	CASE-001689	2
Q-0002	0	CASE-002298	2
Q-0002	0	CASE-001694	2
Q-0002	0	CASE-002123	1
Q-0002	0	CASE-001589	3
Q-0002	0	CASE-002377	3
Q-0002	0	CASE-002494	2
Q-0002	0	CASE-002499	2
Q-0002	0	CASE-001951	2
Q-0002	0	CASE-001844	2
Q-0002	0	CASE-001611	2
Q-0002	0	CASE-001920	2
Q-0002	0	CASE-001673	2
Q-0003	0	CASE-300597	0
Q-0003	0	CASE-300536	0
Q-0003	0	CASE-301565	3
Q-0003	0	CASE-300041	0
Q-0003	0	CASE-301280	0
Q-0003	0	CASE-301994	0
Q-0003	0	CASE-301340	0
Q-0003	0	CASE-301616	2
Q-0003	0	CASE-300728	2
Q-0003	0	CASE-301597	1
Q-0003	0	CASE-301414	1
Q-0003	0	CASE-300636	2
Q-0003	0	CASE-301817	1
Q-0003	0	CASE-300248	0
Q-0003	0	CASE-700201	1
Q-0003	0	CASE-700202	1
Q-0003	0	CASE-300335	1
Q-0004	0	CASE-800747	0
Q-0004	0	CASE-800750	1
Q-0004	0	CASE-800050	0
Q-0004	0	CASE-800580	0
Q-0004	0	CASE-001243	1
Q-0004	0	CASE-800744	0
Q-0004	0	CASE-001361	1
Q-0004	0	CASE-800708	0
Q-0004	0	CASE-800655	0
Q-0004	0	CASE-600106	0
Q-0004	0	CASE-800006	0
Q-0004	0	CASE-800665	0
Q-0004	0	CASE-800842	1
Q-0004	0	CASE-800685	0
Q-0004	0	CASE-800745	0
Q-0004	0	CASE-001525	0
Q-0004	0	CASE-001347	0
Q-0005	0	CASE-80245	2
Q-0005	0	CASE-80123	0
Q-0005	0	CASE-80446	0
Q-0005	0	CASE-80189	1
Q-0005	0	CASE-80256	2
Q-0005	0	CASE-800191	1
Q-0005	0	CASE-80405	1
Q-0005	0	CASE-800375	2
Q-0005	0	CASE-800838	2
Q-0005	0	CASE-80412	2
Q-0005	0	CASE-001443	1
Q-0005	0	CASE-800739	2
Q-0005	0	CASE-001453	1
Q-0005	0	CASE-800564	1
Q-0005	0	CASE-001282	1
Q-0005	0	CASE-001460	1
Q-0005	0	CASE-80436	1
Q-0006	0	CASE-500773	3
Q-0006	0	CASE-501239	2
Q-0006	0	CASE-500920	3
Q-0006	0	CASE-501042	2
Q-0006	0	CASE-500108	2
Q-0006	0	CASE-501181	2
Q-0006	0	CASE-501112	3
Q-0006	0	CASE-500989	2
Q-0006	0	CASE-501267	1
Q-0006	0	CASE-500158	2
Q-0006	0	CASE-501286	2
Q-0006	0	CASE-501154	3
Q-0007	0	CASE-700893	2
Q-0007	0	CASE-700460	3
Q-0007	0	CASE-700751	2
Q-0007	0	CASE-701017	1
Q-0007	0	CASE-700409	3
Q-0007	0	CASE-700645	3
Q-0007	0	CASE-700369	2
Q-0007	0	CASE-700717	2
Q-0007	0	CASE-701104	1
Q-0007	0	CASE-701278	3
Q-0007	0	CASE-700845	1
Q-0007	0	CASE-701237	2
Q-0007	0	CASE-700848	2
Q-0007	0	CASE-700501	1
Q-0007	0	CASE-700948	3
Q-0007	0	CASE-700856	1
Q-0008	0	CASE-001738	2
Q-0008	0	CASE-001743	3
Q-0008	0	CASE-001808	2
Q-0008	0	CASE-001865	2
Q-0008	0	CASE-002123	3
Q-0008	0	CASE-001588	3
Q-0008	0	CASE-001540	2
Q-0008	0	CASE-002134	3
Q-0008	0	CASE-001832	3
Q-0008	0	CASE-002324	2
Q-0008	0	CASE-001611	2
Q-0008	0	CASE-001847	2
Q-0008	0	CASE-002452	2
Q-0009	0	CASE-301007	1
Q-0009	0	CASE-301766	0
Q-0009	0	CASE-20032	2
Q-0009	0	CASE-301846	1
Q-0009	0	CASE-301386	0
Q-0009	0	CASE-301030	2
Q-0009	0	CASE-301331	1
Q-0009	0	CASE-300546	3
Q-0009	0	CASE-300208	1
Q-0009	0	CASE-002312	0
Q-0009	0	CASE-301929	1
Q-0009	0	CASE-300096	2
Q-0009	0	CASE-300842	3
Q-0009	0	CASE-300508	1
Q-0009	0	CASE-301477	0
Q-0009	0	CASE-301206	0
Q-0009	0	CASE-300737	1
